1,Gator,2391,Orisa,Tank,gator@gmail.com
2,lr1s,2153,Baptiste,Support,lr1s@gmail.com
3,Masaa,1542,Lucio,Suppoprt,masaa@gmail.com
4,PELICAN,2765,Mei,DPS,pelican@gmail.com
5,Kai,1980,Cassidy,DPS,kai@gmail.com
6,Stand1,1269,Winston,Tank,stand1@gmail.com
7,Faith,954,Brigitte,Support,faith@gmail.com
8,Myunbong,948,Baptiste,Support,myunbong@gmail.com
9,im37,1259,Cassidy,DPS,im37@gmail.com
10,Valentine,1279,Echo,DPS,valentine@gmail.com
11,ga9A,2502,Wrecking Ball,Tank,ga9a@gmail.com
12,Mmonk,1547,Ana,Support,mmonk@gmail.com
13,Yveltal,664,Mercy,Support,yveltal@gmail.com
14,Leave,3176,Tracer,DPS,leave@gmail.com
15,JinMu,2244,Sombra,DPS,jinmu@gmail.com
16,FEARLESS,3573,Winston,Tank,fearless@gmail.com
17,Jecse,2200,Lucio,Support,jecse@gmail.com
18,Fielder,2543,Moira,Support,fielder@gmail.com
19,SP9RK1E,3706,Tracer,DPS,sp9rk1e@gmail.com
20,Doha,3467,Sombra,DPS,doha@gmail.com
21,GARGOYLE,1641,D.va,Tank,gargoyle@gmail.com
22,SLIME,877,Brigitte,Support,slime@gmail.com
23,Gangnamijin,1204,Baptiste,Support,gangnamijin@gmail.com
24,Yaki,1725,Tracer,DPS,yaki@gmail.com
25,bqb,1516,Cassidy,DPS,bqb@gmail.com
26,Cr0ng,1411,D.va,Tank,cr0ng@gmail.com
27,KariV,689,Ana,Support,kariv@gmail.com
28,Mandu,586,Brigitte,Support,mandu@gmail.com
29,ChoiSehwan,1198,Tracer,DPS,choisehwan@gmail.com
30,Eileen,850,Cassidy,DSP,eileen@gmail.com
31,BERNAR,1360,D.va,Tank,bernar@gmail.com
32,iDK,612,Brigitte,Support,idk@gmail.com
33,MCD,778,Ana,Support,mcd@gmail.com
34,Architect,1138,Tracer,DPS,architect@gmail.com
35,shy,1209,Ashe,DPS,shy@gmail.com
36,Piggy,1497,Sigma,Tank,piggy@gmail.com
37,Crimzo,1145,Baptiste,Support,crimzo@gmail.com
38,Joobi,610,Lucio,Support,joobi@gmail.com
39,Happy,1489,Symmetra,DPS,happy@gmail.com
40,Danteh,1454,Echo,DPS,danteh@gmail.com
41,Hadi,953,Reinhardt,Tank,hadi@gmail.com
42,Ripa,668,Zenyatta,Support,ripa@gmail.com
43,Kellex,593,Brigitte,Support,kellex@gmail.com
44,blasé,678,Echo,DPS,blase@gmail.com
45,Shax,594,Tracer,DPS,shax@gmail.com
46,Muze,2366,Orisa,Tank,muze@gmail.com
47,shu,1764,Baptiste,Support,shu@gmail.com
48,skewed,1125,Brigitte,Support,skewed@gmail.com
49,kevster,2350,Tracer,DPS,kevster@gmail.com
50,BIRDRING,1882,Sombra,DPS,birdring@gmail.com
51,silver3,533,Wrecking Ball,Tank,silver3@gmail.com
52,way,365,Ana,Support,way@gmail.com
53,Highbee,253,Brigitte,Support,highbee@gmail.com
54,Krystal,553,Ashe,DPS,krystal@gmail.com
55,MoLanran,574,Tracer,DPS,molanran@gmail.com
56,Yakpung,1440,Winston,Tank,yakpung@gmail.com
57,JJONAK,1092,Ana,Support,jjonak@gmail.com
58,Friday,750,Brigitte,Support,Friday@gmail.com
59,Flora,1419,Tracer,DPS,flora@gmail.com
60,FEATH5R,664,Echo,DPS,feath3r@gmail.com
61,Daan,1491,Orisa,Tank,daan@gmail.com
62,Kaan,1131,Baptiste,Support,kaan@gmail.com
63,dridro,756,Brigitte,Support,dridro@gmail.com
64,Onigod,1476,Cassidy,DPS,onigod@gmail.com
65,Naga,1529,Echo,DPS,naga@gmail.com
66,Mano,1642,Wrecking Ball,Tank,mano@gmail.com
67,Alarm,1433,Zenyatta,Support,alarm@gmail.com
68,FunnyAstro,668,Brigitte,Support,funnyastro@gmail.com
69,carpe,1630,Cassidy,DPS,carpe@gmail.com
70,eqo,998,Sombra,DPS,eqo@gmail.com
71,Choihyobin,2149,D.va,Tank,choihyobin@gmail.com
72,Viol2t,1694,Baptiste,Support,voil2t@gmail.com
73,FDGod,845,Lucio,Support,fdgod@gmail.com
74,nero,1981,Mei,DPS,nero@gmail.com
75,Glister,1096,Symmetra,DPS,glister@gmail.com
76,Gesture,1118,Orisa,Tank,gesture@gmail.com
77,Anamo,860,Brigitte,Support,anamo@gmail.com
78,Creative,1046,Ana,Support,creative@gmail.com
79,Profit,1955,Tracer,DPS,profit@gmail.com
80,FITS,1739,Cassidy,DPS,fits@gmail.com
81,Void,3133,D.va,Tank,void@gmail.com
82,LeeJargon,1653,Mercy,Support,leejaegon@gmail.com
83,IZaYaKI,2177,Zenyatta,Support,izayaki@gmail.com
84,Fieta,3019,Tracer,DPS,fleta@gmail.com
85,LIP,2916,Sombra,DPS,lip@gmail.com
86,Sado,1501,Winston,Tank,sado@gmail.com
87,ANSOONJAE,915,Brigitte,Support,ansoonjae@gmail.com
88,Lastro,1074,Ana,Support,lastro@gmail.com
89,Heesu,1284,Sombra,DPS,heesu@gmail.com
90,Aspire,678,Tracer,DPS,aspire@gmail.com
91,frdwnr,874,D.va,Tank,frdwnr@gmail.com
92,Roolf,534,Baptiste,Support,roolf@gmail.com
93,Fire,542,Lucio,Support,fire@gmail.com
94,Dalton,779,Tracer,DPS,dalton@gmail.com
95,Teru,466,Mei,DPS,teru@gmail.com
96,Fury,1757,D.va,Tank,fury@gmail.com
97,BEBE,1300,Baptiste,Support,bebe@gmail.com
98,Closer,902,Lucio,Support,closer@gmail.com
99,Assasin,1493,Sombra,DPS,assasin@gmail.com
100,Decay,1835,Tracer,DPS,decay@gmail.com
